dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.5,20,5.0,133366.60196666667,16260.9684,105942.08356666667,11163.55,true,0.50-20-5.00-0,7919,0,9724452,50,600,0,0,0
0.5,20,5.0,128555.14495,15393.945683333333,103013.11593333333,10148.083333333334,true,0.50-20-5.00-1,7919,0,9383231,50,600,0,0,0
0.5,20,5.0,146224.01388333333,16021.51315,119344.0674,10858.433333333332,true,0.50-20-5.00-2,7919,0,9863878,50,600,0,0,0
0.5,20,5.0,137349.88093333333,16166.47575,110365.02185,10818.383333333333,true,0.50-20-5.00-3,7919,0,10669189,50,600,0,0,0
0.5,20,5.0,113153.8127,14152.502016666667,89910.26068333333,9091.05,true,0.50-20-5.00-4,7919,0,8908866,50,600,0,0,0
