dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,147869.50868333332,16441.00688333333,119641.63513333333,11786.866666666667,true,0.20-20-5.00-3,7919,0,7486257,50,600,0,0,0
0.2,20,5.0,170252.96893333335,17458.233066666668,139996.15253333334,12798.583333333334,true,0.20-20-5.00-9,7919,0,8699812,50,600,0,0,0
0.5,20,5.0,166423.01368333332,18327.204933333334,135261.67541666667,12834.133333333333,true,0.50-20-5.00-5,7919,0,9987831,50,600,0,0,0
0.8,20,5.0,137077.34495,16925.220133333332,108580.22481666667,11571.9,true,0.80-20-5.00-1,7919,0,9118883,50,600,0,0,0
0.8,20,5.0,160991.59866666666,18011.302316666668,130509.29635,12471.0,true,0.80-20-5.00-7,7919,0,9260484,50,600,0,0,0
