dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,142033.09673333334,16646.873316666668,113921.27341666666,11464.95,true,0.20-20-5.00-6,7919,0,7875645,50,600,0,0,0
0.2,20,5.0,167366.8891666667,17844.197216666667,136249.54195,13273.15,true,0.20-20-5.00-5,7919,0,8404961,50,600,0,0,0
0.2,20,5.0,151086.11213333334,17066.879,122248.1998,11771.033333333333,true,0.20-20-5.00-8,7919,0,8497860,50,600,0,0,0
0.2,20,5.0,180056.6746666667,18066.1295,148585.9285,13404.616666666667,true,0.20-20-5.00-7,7919,0,9772901,50,600,0,0,0
0.2,20,5.0,158711.76653333334,16815.9999,129729.56663333334,12166.2,true,0.20-20-5.00-9,7919,0,8673793,50,600,0,0,0
