dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,-1,-1,-1,-1,false,0.20-20-5.00-0,7919,0,-1,50,600,-1,-1,-1
0.2,20,5.0,-1,-1,-1,-1,false,0.20-20-5.00-2,7919,0,-1,50,600,-1,-1,-1
0.2,20,5.0,-1,-1,-1,-1,false,0.20-20-5.00-0,7919,0,-1,50,600,-1,-1,-1
0.2,20,5.0,109946.99295,9327.986516666666,92956.43976666666,7662.566666666667,true,0.20-20-5.00-3,7919,0,26812637,50,600,0,0,0
0.2,20,5.0,90216.71479999999,12776.880883333333,69876.06725,7563.766666666666,true,0.20-20-5.00-0,7919,0,11343609,50,600,0,0,0
0.2,20,5.0,106364.27043333332,14140.667933333334,83339.21916666666,8884.383333333333,true,0.20-20-5.00-2,7919,0,32094626,50,600,0,0,0
