dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,48433.57603333333,9391.3632,34814.7795,4227.433333333333,true,0.20-20-5.00-8,7919,0,4315869,50,600,0,0,0
0.2,20,5.0,51112.62096666667,9390.949583333333,37188.77138333333,4532.9,true,0.20-20-5.00-6,7919,0,4870806,50,600,0,0,0
0.2,20,5.0,57398.883850000006,9552.10235,42724.164833333336,5122.616666666667,true,0.20-20-5.00-7,7919,0,4932966,50,600,0,0,0
0.2,20,5.0,67172.47496666666,10083.291116666667,51305.81718333333,5783.366666666667,true,0.20-20-5.00-5,7919,0,5945329,50,600,0,0,0
0.2,20,5.0,65885.22491666667,10168.852116666667,50138.38946666667,5577.983333333334,true,0.20-20-5.00-9,7919,0,5730176,50,600,0,0,0
