dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,2345239.203033333,11744.716866666668,231888.76361666666,14606.85,true,0.20-20-5.00-4,7919,0,19445534,50,600,0,0,0
0.5,20,5.0,2386645.5027999994,10627.2923,236144.07771666665,14577.433333333332,true,0.50-20-5.00-0,7919,0,19131690,50,600,0,0,0
0.5,20,5.0,2992093.3874833332,14609.381316666666,295872.02228333335,18763.783333333333,true,0.50-20-5.00-6,7919,0,20470144,50,600,0,0,0
0.8,20,5.0,1914126.7974333335,11760.705933333333,188926.92415,13096.85,true,0.80-20-5.00-2,7919,0,19130079,50,600,0,0,0
0.8,20,5.0,1948515.8032666666,13211.126266666666,192115.40936666666,14150.583333333334,true,0.80-20-5.00-8,7919,0,19438604,50,600,0,0,0
