dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,-1,-1,-1,-1,false,0.20-20-5.00-8,7919,0,-1,50,600,-1,-1,-1
0.2,20,5.0,246123.36080000002,13630.9762,218175.91793333334,14316.466666666667,true,0.20-20-5.00-5,7919,0,18492611,50,600,0,0,0
0.2,20,5.0,143140.94395000002,16091.427716666667,115481.4329,11568.083333333334,true,0.20-20-5.00-9,7919,0,12620379,50,600,0,0,0
