dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,1403383.5749833332,17791.366483333335,137245.34918333334,13138.716666666667,true,0.20-20-5.00-5,7919,0,8321657,50,600,0,0,0
0.5,20,5.0,1215904.8161666666,17078.4555,118727.69106666667,11549.45,true,0.50-20-5.00-1,7919,0,7789595,50,600,0,0,0
0.5,20,5.0,1108827.1093333333,16407.294166666667,108157.24985,10847.316666666668,true,0.50-20-5.00-7,7919,0,7522668,50,600,0,0,0
0.8,20,5.0,1191807.6585333333,17480.132533333333,116235.64926666666,11971.033333333333,true,0.80-20-5.00-3,7919,0,8289206,50,600,0,0,0
0.8,20,5.0,1332737.6654,18128.0079,130204.72075,12562.45,true,0.80-20-5.00-9,7919,0,9400864,50,600,0,0,0
