dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,111701.2637,14255.637416666666,88299.14295,9146.483333333334,true,0.20-20-5.00-2,7919,0,6672639,50,600,0,0,0
0.2,20,5.0,128565.77278333333,15066.01505,102996.34106666666,10503.416666666666,true,0.20-20-5.00-1,7919,0,7306017,50,600,0,0,0
0.2,20,5.0,106859.58108333335,14413.42295,83390.55813333334,9055.6,true,0.20-20-5.00-3,7919,0,7528599,50,600,0,0,0
0.2,20,5.0,116528.06791666667,14826.656633333334,92086.29461666667,9615.116666666667,true,0.20-20-5.00-0,7919,0,8370087,50,600,0,0,0
0.2,20,5.0,106812.16425,13932.8567,84112.22421666667,8767.083333333334,true,0.20-20-5.00-4,7919,0,7091661,50,600,0,0,0
