dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,160939.18841666667,17316.270883333334,130872.8342,12750.083333333334,true,0.20-20-5.00-3,7919,0,8616261,50,600,0,0,0
0.2,20,5.0,163521.67103333332,17197.815066666666,133729.42263333334,12594.433333333332,true,0.20-20-5.00-9,7919,0,9131372,50,600,0,0,0
0.5,20,5.0,133453.47273333333,16590.3455,105825.27723333333,11037.85,true,0.50-20-5.00-5,7919,0,7938336,50,600,0,0,0
0.8,20,5.0,163016.2394,18349.367783333335,131795.53828333333,12871.333333333334,true,0.80-20-5.00-1,7919,0,9498524,50,600,0,0,0
0.8,20,5.0,151293.23086666668,17916.377733333335,120992.8698,12383.983333333334,true,0.80-20-5.00-7,7919,0,10481114,50,600,0,0,0
