dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.8,20,5.0,100491.25386666667,13997.941216666666,77677.42931666666,8815.883333333333,true,0.80-20-5.00-5,7919,0,10235583,50,600,0,0,0
0.8,20,5.0,102083.56028333333,14307.27415,78832.9528,8943.333333333334,true,0.80-20-5.00-6,7919,0,10448750,50,600,0,0,0
0.8,20,5.0,108101.91925,14230.785033333334,84857.56755,9013.566666666668,true,0.80-20-5.00-7,7919,0,9822398,50,600,0,0,0
0.8,20,5.0,109623.08208333334,14565.665366666666,85789.18338333334,9268.233333333334,true,0.80-20-5.00-8,7919,0,10429031,50,600,0,0,0
0.8,20,5.0,125040.51126666667,15328.3072,99717.35406666667,9994.85,true,0.80-20-5.00-9,7919,0,10607505,50,600,0,0,0
