dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,97972.9613,13560.244566666666,76125.65006666667,8287.066666666668,true,0.20-20-5.00-0,7919,0,6924235,50,600,0,0,0
0.2,20,5.0,89195.13936666666,12382.669316666666,68999.88671666666,7812.583333333333,true,0.20-20-5.00-6,7919,0,7050560,50,600,0,0,0
0.5,20,5.0,117710.2439,14948.6191,93138.80813333334,9622.816666666668,true,0.50-20-5.00-2,7919,0,8443275,50,600,0,0,0
0.5,20,5.0,123144.05511666668,15193.4943,98052.21081666667,9898.35,true,0.50-20-5.00-8,7919,0,10066357,50,600,0,0,0
0.8,20,5.0,142902.78641666667,16233.205233333334,115772.74785,10896.833333333334,true,0.80-20-5.00-4,7919,0,11199600,50,600,0,0,0
