dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions
0.2,20,5.0,41127.300050000005,8263.740216666667,28992.293166666666,3871.266666666667,true,0.20-20-5.00-1,7919,0,1921777,50,600,0,0,0
0.2,20,5.0,41016.276216666665,8407.511416666666,28601.448133333335,4007.3166666666666,true,0.20-20-5.00-7,7919,0,1826620,50,600,0,0,0
0.5,20,5.0,33837.8891,8398.847516666667,22256.124916666668,3182.9166666666665,true,0.50-20-5.00-3,7919,0,2190271,50,600,0,0,0
0.5,20,5.0,31682.85971666667,8130.926983333334,20519.466066666668,3032.4666666666667,true,0.50-20-5.00-9,7919,0,2197874,50,600,0,0,0
0.8,20,5.0,30456.049150000003,8222.930683333334,19142.135133333333,3090.983333333333,true,0.80-20-5.00-5,7919,0,2424871,50,600,0,0,0
